[13:02:07.725] Namespace(D_lr=0.0001, base_lr=0.01, batch_size=4, beta=0.3, consistency=0.01, consistency_rampup=40.0, dataset_name='LA', deterministic=1, ema_decay=0.99, exp='vnet', gamma=0.5, gpu='2', labeled_bs=2, labelnum=25, max_iterations=6000, max_samples=123, model='SASSNet', root_path='/data/omnisky/postgraduate/Yb/data_set/LASet/data', seed=1337)
[13:02:10.708] 12 itertations per epoch
[13:02:13.311] iteration 1 : loss : 0.749962, loss_weight: 0.000067, loss_haus: 0.195604, loss_seg: 0.689958, loss_dice: 0.691233
[13:02:44.498] iteration 20 : loss : 0.473821, loss_weight: 0.000067, loss_haus: 0.164893, loss_seg: 0.586873, loss_dice: 0.424307
[13:02:46.073] iteration 21 : loss : 0.590243, loss_weight: 0.000067, loss_haus: 0.105779, loss_seg: 0.513362, loss_dice: 0.558470
[13:02:47.677] iteration 22 : loss : 0.571392, loss_weight: 0.000067, loss_haus: 0.120016, loss_seg: 0.570419, loss_dice: 0.535342
[13:02:49.276] iteration 23 : loss : 0.570381, loss_weight: 0.000067, loss_haus: 0.130881, loss_seg: 0.735237, loss_dice: 0.531077
[13:02:50.886] iteration 24 : loss : 0.567550, loss_weight: 0.000067, loss_haus: 0.157827, loss_seg: 0.589154, loss_dice: 0.520163
[13:02:53.102] iteration 25 : loss : 0.683706, loss_weight: 0.000067, loss_haus: 0.153981, loss_seg: 0.608535, loss_dice: 0.637472
[13:02:54.684] iteration 26 : loss : 0.498295, loss_weight: 0.000067, loss_haus: 0.128157, loss_seg: 0.499654, loss_dice: 0.459812
[13:02:56.271] iteration 27 : loss : 0.564667, loss_weight: 0.000067, loss_haus: 0.111409, loss_seg: 0.507484, loss_dice: 0.531203
[13:02:57.873] iteration 28 : loss : 0.540926, loss_weight: 0.000067, loss_haus: 0.139214, loss_seg: 0.575001, loss_dice: 0.499116
[13:02:59.460] iteration 29 : loss : 0.626252, loss_weight: 0.000067, loss_haus: 0.136098, loss_seg: 0.544599, loss_dice: 0.585375
[13:03:01.040] iteration 30 : loss : 0.552846, loss_weight: 0.000067, loss_haus: 0.130549, loss_seg: 0.528977, loss_dice: 0.513627
[13:03:02.633] iteration 31 : loss : 0.475306, loss_weight: 0.000067, loss_haus: 0.171762, loss_seg: 0.494530, loss_dice: 0.423708
[13:03:04.245] iteration 32 : loss : 0.611032, loss_weight: 0.000067, loss_haus: 0.099644, loss_seg: 0.593571, loss_dice: 0.581079
[13:03:05.854] iteration 33 : loss : 0.554395, loss_weight: 0.000067, loss_haus: 0.093854, loss_seg: 0.688586, loss_dice: 0.526172
[13:03:07.459] iteration 34 : loss : 0.505223, loss_weight: 0.000067, loss_haus: 0.101021, loss_seg: 0.454934, loss_dice: 0.474851
[13:03:09.053] iteration 35 : loss : 0.642174, loss_weight: 0.000067, loss_haus: 0.155064, loss_seg: 0.775671, loss_dice: 0.595590
[13:03:10.667] iteration 36 : loss : 0.529499, loss_weight: 0.000067, loss_haus: 0.233010, loss_seg: 0.584097, loss_dice: 0.459541
[13:03:13.057] iteration 37 : loss : 0.531081, loss_weight: 0.000067, loss_haus: 0.095116, loss_seg: 0.507589, loss_dice: 0.502494
[13:03:14.723] iteration 38 : loss : 0.371979, loss_weight: 0.000067, loss_haus: 0.103986, loss_seg: 0.554108, loss_dice: 0.340735
[13:03:16.364] iteration 39 : loss : 0.508827, loss_weight: 0.000067, loss_haus: 0.094462, loss_seg: 0.593836, loss_dice: 0.480448
[13:03:17.985] iteration 40 : loss : 0.562580, loss_weight: 0.000067, loss_haus: 0.083545, loss_seg: 0.490739, loss_dice: 0.537480
[13:03:19.596] iteration 41 : loss : 0.559480, loss_weight: 0.000067, loss_haus: 0.146759, loss_seg: 0.517775, loss_dice: 0.515417
[13:03:21.255] iteration 42 : loss : 0.556583, loss_weight: 0.000067, loss_haus: 0.109262, loss_seg: 0.472032, loss_dice: 0.523764
[13:03:22.915] iteration 43 : loss : 0.506330, loss_weight: 0.000067, loss_haus: 0.108100, loss_seg: 0.543476, loss_dice: 0.473861
[13:03:24.530] iteration 44 : loss : 0.563357, loss_weight: 0.000067, loss_haus: 0.142210, loss_seg: 0.686125, loss_dice: 0.520654
[13:03:26.141] iteration 45 : loss : 0.627725, loss_weight: 0.000067, loss_haus: 0.110880, loss_seg: 0.606907, loss_dice: 0.594415
[13:03:27.842] iteration 46 : loss : 0.529968, loss_weight: 0.000067, loss_haus: 0.094789, loss_seg: 0.574814, loss_dice: 0.501481
[13:03:29.491] iteration 47 : loss : 0.579822, loss_weight: 0.000067, loss_haus: 0.085358, loss_seg: 0.532814, loss_dice: 0.554157
[13:03:31.136] iteration 48 : loss : 0.425022, loss_weight: 0.000067, loss_haus: 0.099836, loss_seg: 0.554455, loss_dice: 0.395025
[13:03:33.443] iteration 49 : loss : 0.598574, loss_weight: 0.000067, loss_haus: 0.094323, loss_seg: 0.571341, loss_dice: 0.570233
[13:03:35.120] iteration 50 : loss : 0.404798, loss_weight: 0.000067, loss_haus: 0.116063, loss_seg: 0.450069, loss_dice: 0.369935
[13:03:36.755] iteration 51 : loss : 0.579973, loss_weight: 0.000067, loss_haus: 0.085940, loss_seg: 0.458479, loss_dice: 0.554150
[13:03:38.387] iteration 52 : loss : 0.446638, loss_weight: 0.000067, loss_haus: 0.108193, loss_seg: 0.460300, loss_dice: 0.414144
[13:03:40.035] iteration 53 : loss : 0.519420, loss_weight: 0.000067, loss_haus: 0.094004, loss_seg: 0.434510, loss_dice: 0.491194
[13:03:41.682] iteration 54 : loss : 0.530693, loss_weight: 0.000067, loss_haus: 0.080117, loss_seg: 0.513106, loss_dice: 0.506622
[13:03:43.312] iteration 55 : loss : 0.336085, loss_weight: 0.000067, loss_haus: 0.075587, loss_seg: 0.426627, loss_dice: 0.313377
[13:03:44.987] iteration 56 : loss : 0.422322, loss_weight: 0.000067, loss_haus: 0.109092, loss_seg: 0.527056, loss_dice: 0.389559
[13:03:46.648] iteration 57 : loss : 0.495752, loss_weight: 0.000067, loss_haus: 0.092256, loss_seg: 0.458632, loss_dice: 0.468037
[13:03:48.304] iteration 58 : loss : 0.557691, loss_weight: 0.000067, loss_haus: 0.086881, loss_seg: 0.509172, loss_dice: 0.531590
[13:03:49.968] iteration 59 : loss : 0.402728, loss_weight: 0.000067, loss_haus: 0.100157, loss_seg: 0.444229, loss_dice: 0.372637
[13:03:51.612] iteration 60 : loss : 0.528245, loss_weight: 0.000067, loss_haus: 0.074271, loss_seg: 0.412803, loss_dice: 0.505911
[13:03:53.978] iteration 61 : loss : 0.341237, loss_weight: 0.000067, loss_haus: 0.104352, loss_seg: 0.472542, loss_dice: 0.309874
[13:03:55.659] iteration 62 : loss : 0.559468, loss_weight: 0.000067, loss_haus: 0.078508, loss_seg: 0.481767, loss_dice: 0.535848
[13:03:57.333] iteration 63 : loss : 0.457330, loss_weight: 0.000067, loss_haus: 0.107555, loss_seg: 0.492462, loss_dice: 0.424997
[13:03:58.979] iteration 64 : loss : 0.558475, loss_weight: 0.000067, loss_haus: 0.082302, loss_seg: 0.473558, loss_dice: 0.533709
[13:04:00.654] iteration 65 : loss : 0.342057, loss_weight: 0.000067, loss_haus: 0.069167, loss_seg: 0.438266, loss_dice: 0.321232
[13:04:02.311] iteration 66 : loss : 0.500744, loss_weight: 0.000067, loss_haus: 0.084210, loss_seg: 0.512514, loss_dice: 0.475416
[13:04:03.970] iteration 67 : loss : 0.494793, loss_weight: 0.000067, loss_haus: 0.073764, loss_seg: 0.497815, loss_dice: 0.472610
[13:04:05.629] iteration 68 : loss : 0.457319, loss_weight: 0.000067, loss_haus: 0.073860, loss_seg: 0.535905, loss_dice: 0.435116
[13:04:07.286] iteration 69 : loss : 0.406305, loss_weight: 0.000067, loss_haus: 0.075633, loss_seg: 0.522324, loss_dice: 0.383581
[13:04:08.962] iteration 70 : loss : 0.400132, loss_weight: 0.000067, loss_haus: 0.079442, loss_seg: 0.440340, loss_dice: 0.376265
[13:04:10.617] iteration 71 : loss : 0.520921, loss_weight: 0.000067, loss_haus: 0.081475, loss_seg: 0.575658, loss_dice: 0.496443
[13:04:12.284] iteration 72 : loss : 0.475819, loss_weight: 0.000067, loss_haus: 0.077807, loss_seg: 0.436654, loss_dice: 0.452454
[13:04:14.504] iteration 73 : loss : 0.473682, loss_weight: 0.000067, loss_haus: 0.076420, loss_seg: 0.424838, loss_dice: 0.450736
[13:04:16.167] iteration 74 : loss : 0.437253, loss_weight: 0.000067, loss_haus: 0.074378, loss_seg: 0.429236, loss_dice: 0.414912
[13:04:17.826] iteration 75 : loss : 0.454787, loss_weight: 0.000067, loss_haus: 0.060253, loss_seg: 0.458596, loss_dice: 0.436678
[13:04:19.484] iteration 76 : loss : 0.456534, loss_weight: 0.000067, loss_haus: 0.065299, loss_seg: 0.366651, loss_dice: 0.436900
[13:04:21.171] iteration 77 : loss : 0.464009, loss_weight: 0.000067, loss_haus: 0.077569, loss_seg: 0.458260, loss_dice: 0.440688
[13:04:22.832] iteration 78 : loss : 0.414442, loss_weight: 0.000067, loss_haus: 0.057870, loss_seg: 0.430615, loss_dice: 0.397025
[13:04:24.497] iteration 79 : loss : 0.500979, loss_weight: 0.000067, loss_haus: 0.089442, loss_seg: 0.453459, loss_dice: 0.474089
[13:04:26.200] iteration 80 : loss : 0.249640, loss_weight: 0.000067, loss_haus: 0.073350, loss_seg: 0.397017, loss_dice: 0.227568
[13:04:27.853] iteration 81 : loss : 0.431441, loss_weight: 0.000067, loss_haus: 0.069551, loss_seg: 0.460501, loss_dice: 0.410503
[13:04:29.542] iteration 82 : loss : 0.240201, loss_weight: 0.000067, loss_haus: 0.072940, loss_seg: 0.371374, loss_dice: 0.218249
[13:04:31.205] iteration 83 : loss : 0.586693, loss_weight: 0.000067, loss_haus: 0.072769, loss_seg: 0.459360, loss_dice: 0.564791
[13:04:32.872] iteration 84 : loss : 0.353169, loss_weight: 0.000067, loss_haus: 0.083290, loss_seg: 0.466746, loss_dice: 0.328124
[13:04:35.199] iteration 85 : loss : 0.386602, loss_weight: 0.000067, loss_haus: 0.063072, loss_seg: 0.447907, loss_dice: 0.367620
[13:04:36.887] iteration 86 : loss : 0.402316, loss_weight: 0.000067, loss_haus: 0.073748, loss_seg: 0.418559, loss_dice: 0.380131
[13:04:38.569] iteration 87 : loss : 0.299746, loss_weight: 0.000067, loss_haus: 0.068311, loss_seg: 0.423999, loss_dice: 0.279195
[13:04:40.231] iteration 88 : loss : 0.512784, loss_weight: 0.000067, loss_haus: 0.099341, loss_seg: 0.577222, loss_dice: 0.482932
[13:04:41.900] iteration 89 : loss : 0.349438, loss_weight: 0.000067, loss_haus: 0.072329, loss_seg: 0.442783, loss_dice: 0.327692
[13:04:43.562] iteration 90 : loss : 0.470309, loss_weight: 0.000067, loss_haus: 0.068947, loss_seg: 0.446351, loss_dice: 0.449580
[13:04:45.250] iteration 91 : loss : 0.255045, loss_weight: 0.000067, loss_haus: 0.063809, loss_seg: 0.303854, loss_dice: 0.235859
[13:04:46.888] iteration 92 : loss : 0.446103, loss_weight: 0.000067, loss_haus: 0.073600, loss_seg: 0.479960, loss_dice: 0.423980
[13:04:48.565] iteration 93 : loss : 0.463436, loss_weight: 0.000067, loss_haus: 0.087975, loss_seg: 0.465013, loss_dice: 0.437001
[13:04:50.242] iteration 94 : loss : 0.462909, loss_weight: 0.000067, loss_haus: 0.080747, loss_seg: 0.596224, loss_dice: 0.438642
[13:04:51.910] iteration 95 : loss : 0.467932, loss_weight: 0.000067, loss_haus: 0.072811, loss_seg: 0.405892, loss_dice: 0.446046
[13:04:53.584] iteration 96 : loss : 0.333280, loss_weight: 0.000067, loss_haus: 0.063429, loss_seg: 0.319415, loss_dice: 0.314207
[13:04:55.890] iteration 97 : loss : 0.377958, loss_weight: 0.000067, loss_haus: 0.055541, loss_seg: 0.386586, loss_dice: 0.361249
[13:04:57.560] iteration 98 : loss : 0.354213, loss_weight: 0.000067, loss_haus: 0.063381, loss_seg: 0.438977, loss_dice: 0.335152
[13:04:59.194] iteration 99 : loss : 0.319259, loss_weight: 0.000067, loss_haus: 0.065980, loss_seg: 0.344414, loss_dice: 0.299416
[13:05:00.849] iteration 100 : loss : 0.356582, loss_weight: 0.000067, loss_haus: 0.054415, loss_seg: 0.359999, loss_dice: 0.340207
[13:05:02.510] iteration 101 : loss : 0.296904, loss_weight: 0.000067, loss_haus: 0.052734, loss_seg: 0.342822, loss_dice: 0.281026
[13:05:04.130] iteration 102 : loss : 0.387173, loss_weight: 0.000067, loss_haus: 0.061259, loss_seg: 0.286108, loss_dice: 0.368735
[13:05:05.776] iteration 103 : loss : 0.262272, loss_weight: 0.000067, loss_haus: 0.069714, loss_seg: 0.312017, loss_dice: 0.241302
[13:05:07.392] iteration 104 : loss : 0.496511, loss_weight: 0.000067, loss_haus: 0.072283, loss_seg: 0.438662, loss_dice: 0.474767
[13:05:09.013] iteration 105 : loss : 0.326944, loss_weight: 0.000067, loss_haus: 0.078922, loss_seg: 0.376495, loss_dice: 0.303211
[13:05:10.638] iteration 106 : loss : 0.397479, loss_weight: 0.000067, loss_haus: 0.063951, loss_seg: 0.308670, loss_dice: 0.378237
[13:05:12.249] iteration 107 : loss : 0.523219, loss_weight: 0.000067, loss_haus: 0.093512, loss_seg: 0.489177, loss_dice: 0.495114
[13:05:13.882] iteration 108 : loss : 0.375306, loss_weight: 0.000067, loss_haus: 0.055336, loss_seg: 0.359116, loss_dice: 0.358629
[13:05:16.183] iteration 109 : loss : 0.355061, loss_weight: 0.000067, loss_haus: 0.064726, loss_seg: 0.414137, loss_dice: 0.335563
[13:05:17.838] iteration 110 : loss : 0.441312, loss_weight: 0.000067, loss_haus: 0.070626, loss_seg: 0.523391, loss_dice: 0.420043
[13:05:19.457] iteration 111 : loss : 0.304714, loss_weight: 0.000067, loss_haus: 0.064012, loss_seg: 0.271862, loss_dice: 0.285456
[13:05:21.120] iteration 112 : loss : 0.216370, loss_weight: 0.000067, loss_haus: 0.054875, loss_seg: 0.349045, loss_dice: 0.199827
[13:05:22.774] iteration 113 : loss : 0.490768, loss_weight: 0.000067, loss_haus: 0.068095, loss_seg: 0.441829, loss_dice: 0.470276
[13:05:24.361] iteration 114 : loss : 0.586345, loss_weight: 0.000067, loss_haus: 0.071226, loss_seg: 0.509637, loss_dice: 0.564907
[13:05:26.019] iteration 115 : loss : 0.307911, loss_weight: 0.000067, loss_haus: 0.060468, loss_seg: 0.414912, loss_dice: 0.289697
[13:05:27.631] iteration 116 : loss : 0.464805, loss_weight: 0.000067, loss_haus: 0.064149, loss_seg: 0.361656, loss_dice: 0.445482
[13:05:29.271] iteration 117 : loss : 0.286561, loss_weight: 0.000067, loss_haus: 0.068718, loss_seg: 0.317942, loss_dice: 0.265891
[13:05:30.915] iteration 118 : loss : 0.360399, loss_weight: 0.000067, loss_haus: 0.061655, loss_seg: 0.302754, loss_dice: 0.341829
[13:05:32.567] iteration 119 : loss : 0.327417, loss_weight: 0.000067, loss_haus: 0.056728, loss_seg: 0.317759, loss_dice: 0.310327
[13:05:34.201] iteration 120 : loss : 0.386736, loss_weight: 0.000067, loss_haus: 0.065281, loss_seg: 0.401007, loss_dice: 0.367099
[13:05:36.444] iteration 121 : loss : 0.371334, loss_weight: 0.000067, loss_haus: 0.049853, loss_seg: 0.471736, loss_dice: 0.356328
[13:05:38.108] iteration 122 : loss : 0.329917, loss_weight: 0.000067, loss_haus: 0.073725, loss_seg: 0.398407, loss_dice: 0.307763
[13:05:39.759] iteration 123 : loss : 0.225003, loss_weight: 0.000067, loss_haus: 0.065398, loss_seg: 0.302046, loss_dice: 0.205334
[13:05:41.406] iteration 124 : loss : 0.435568, loss_weight: 0.000067, loss_haus: 0.079070, loss_seg: 0.339434, loss_dice: 0.411806
[13:05:43.064] iteration 125 : loss : 0.503593, loss_weight: 0.000067, loss_haus: 0.089684, loss_seg: 0.457263, loss_dice: 0.476646
[13:05:44.664] iteration 126 : loss : 0.412975, loss_weight: 0.000067, loss_haus: 0.057435, loss_seg: 0.422242, loss_dice: 0.395699
[13:05:46.280] iteration 127 : loss : 0.542564, loss_weight: 0.000067, loss_haus: 0.060616, loss_seg: 0.544883, loss_dice: 0.524335
[13:05:47.934] iteration 128 : loss : 0.418131, loss_weight: 0.000067, loss_haus: 0.088527, loss_seg: 0.355958, loss_dice: 0.391526
[13:05:49.544] iteration 129 : loss : 0.346394, loss_weight: 0.000067, loss_haus: 0.056672, loss_seg: 0.462438, loss_dice: 0.329349
[13:05:51.187] iteration 130 : loss : 0.279128, loss_weight: 0.000067, loss_haus: 0.052665, loss_seg: 0.235568, loss_dice: 0.263287
[13:05:52.835] iteration 131 : loss : 0.199602, loss_weight: 0.000067, loss_haus: 0.046805, loss_seg: 0.320797, loss_dice: 0.185520
[13:05:54.466] iteration 132 : loss : 0.306518, loss_weight: 0.000067, loss_haus: 0.050266, loss_seg: 0.244128, loss_dice: 0.291397
[13:05:56.732] iteration 133 : loss : 0.532237, loss_weight: 0.000067, loss_haus: 0.077401, loss_seg: 0.471820, loss_dice: 0.508979
[13:05:58.366] iteration 134 : loss : 0.512413, loss_weight: 0.000067, loss_haus: 0.064534, loss_seg: 0.424844, loss_dice: 0.493013
[13:06:00.002] iteration 135 : loss : 0.470971, loss_weight: 0.000067, loss_haus: 0.063262, loss_seg: 0.394092, loss_dice: 0.451954
[13:06:01.649] iteration 136 : loss : 0.453425, loss_weight: 0.000067, loss_haus: 0.080416, loss_seg: 0.560121, loss_dice: 0.429257
[13:06:03.317] iteration 137 : loss : 0.243005, loss_weight: 0.000067, loss_haus: 0.060875, loss_seg: 0.309410, loss_dice: 0.224697
[13:06:04.969] iteration 138 : loss : 0.443663, loss_weight: 0.000067, loss_haus: 0.064717, loss_seg: 0.311528, loss_dice: 0.424201
[13:06:06.666] iteration 139 : loss : 0.282503, loss_weight: 0.000067, loss_haus: 0.073342, loss_seg: 0.361332, loss_dice: 0.260450
[13:06:08.314] iteration 140 : loss : 0.310221, loss_weight: 0.000067, loss_haus: 0.057683, loss_seg: 0.363525, loss_dice: 0.292862
[13:06:09.935] iteration 141 : loss : 0.353957, loss_weight: 0.000067, loss_haus: 0.063506, loss_seg: 0.331077, loss_dice: 0.334855
[13:06:11.570] iteration 142 : loss : 0.303228, loss_weight: 0.000067, loss_haus: 0.048941, loss_seg: 0.382515, loss_dice: 0.288499
[13:06:13.205] iteration 143 : loss : 0.382645, loss_weight: 0.000067, loss_haus: 0.061927, loss_seg: 0.439120, loss_dice: 0.364017
[13:06:14.843] iteration 144 : loss : 0.324483, loss_weight: 0.000067, loss_haus: 0.051647, loss_seg: 0.285433, loss_dice: 0.308932
[13:06:17.143] iteration 145 : loss : 0.462646, loss_weight: 0.000067, loss_haus: 0.060527, loss_seg: 0.349661, loss_dice: 0.444435
[13:06:18.805] iteration 146 : loss : 0.429493, loss_weight: 0.000067, loss_haus: 0.075820, loss_seg: 0.463721, loss_dice: 0.406695
[13:06:20.479] iteration 147 : loss : 0.316028, loss_weight: 0.000067, loss_haus: 0.070211, loss_seg: 0.447894, loss_dice: 0.294909
[13:06:22.086] iteration 148 : loss : 0.488072, loss_weight: 0.000067, loss_haus: 0.066050, loss_seg: 0.468349, loss_dice: 0.468206
[13:06:23.758] iteration 149 : loss : 0.299096, loss_weight: 0.000067, loss_haus: 0.053267, loss_seg: 0.304535, loss_dice: 0.283059
[13:06:25.408] iteration 150 : loss : 0.284474, loss_weight: 0.000067, loss_haus: 0.048710, loss_seg: 0.306424, loss_dice: 0.269810
[13:06:27.053] iteration 151 : loss : 0.364133, loss_weight: 0.000086, loss_haus: 0.055385, loss_seg: 0.322084, loss_dice: 0.347450
[13:06:28.707] iteration 152 : loss : 0.268070, loss_weight: 0.000086, loss_haus: 0.066617, loss_seg: 0.309582, loss_dice: 0.248022
[13:06:30.320] iteration 153 : loss : 0.195303, loss_weight: 0.000086, loss_haus: 0.062204, loss_seg: 0.256580, loss_dice: 0.176574
[13:06:31.943] iteration 154 : loss : 0.244960, loss_weight: 0.000086, loss_haus: 0.065217, loss_seg: 0.251316, loss_dice: 0.225333
[13:06:33.576] iteration 155 : loss : 0.341769, loss_weight: 0.000086, loss_haus: 0.055411, loss_seg: 0.195336, loss_dice: 0.325082
[13:06:35.164] iteration 156 : loss : 0.327355, loss_weight: 0.000086, loss_haus: 0.053972, loss_seg: 0.380890, loss_dice: 0.311101
[13:06:37.474] iteration 157 : loss : 0.357351, loss_weight: 0.000086, loss_haus: 0.075269, loss_seg: 0.437517, loss_dice: 0.334708
[13:06:39.170] iteration 158 : loss : 0.207346, loss_weight: 0.000086, loss_haus: 0.055909, loss_seg: 0.322530, loss_dice: 0.190510
[13:06:40.805] iteration 159 : loss : 0.353484, loss_weight: 0.000086, loss_haus: 0.065817, loss_seg: 0.356276, loss_dice: 0.333670
[13:06:42.409] iteration 160 : loss : 0.382336, loss_weight: 0.000086, loss_haus: 0.064449, loss_seg: 0.262853, loss_dice: 0.362933
[13:06:44.029] iteration 161 : loss : 0.384305, loss_weight: 0.000086, loss_haus: 0.061881, loss_seg: 0.327989, loss_dice: 0.365677
[13:06:45.675] iteration 162 : loss : 0.290290, loss_weight: 0.000086, loss_haus: 0.047269, loss_seg: 0.268645, loss_dice: 0.276045
[13:06:47.295] iteration 163 : loss : 0.186123, loss_weight: 0.000086, loss_haus: 0.056524, loss_seg: 0.241137, loss_dice: 0.169113
[13:06:48.939] iteration 164 : loss : 0.265350, loss_weight: 0.000086, loss_haus: 0.049889, loss_seg: 0.276925, loss_dice: 0.250319
[13:06:50.601] iteration 165 : loss : 0.259688, loss_weight: 0.000086, loss_haus: 0.048706, loss_seg: 0.270046, loss_dice: 0.245016
[13:06:52.228] iteration 166 : loss : 0.366856, loss_weight: 0.000086, loss_haus: 0.051122, loss_seg: 0.272563, loss_dice: 0.351460
[13:06:53.870] iteration 167 : loss : 0.302427, loss_weight: 0.000086, loss_haus: 0.044340, loss_seg: 0.238803, loss_dice: 0.289068
[13:06:55.529] iteration 168 : loss : 0.268550, loss_weight: 0.000086, loss_haus: 0.064404, loss_seg: 0.330587, loss_dice: 0.249172
[13:06:57.862] iteration 169 : loss : 0.305635, loss_weight: 0.000086, loss_haus: 0.053047, loss_seg: 0.343933, loss_dice: 0.289665
[13:06:59.510] iteration 170 : loss : 0.260921, loss_weight: 0.000086, loss_haus: 0.055188, loss_seg: 0.363887, loss_dice: 0.244310
[13:07:01.152] iteration 171 : loss : 0.255928, loss_weight: 0.000086, loss_haus: 0.050616, loss_seg: 0.280758, loss_dice: 0.240690
[13:07:02.758] iteration 172 : loss : 0.384530, loss_weight: 0.000086, loss_haus: 0.066580, loss_seg: 0.458939, loss_dice: 0.364501
[13:07:04.382] iteration 173 : loss : 0.248588, loss_weight: 0.000086, loss_haus: 0.051897, loss_seg: 0.249271, loss_dice: 0.232964
[13:07:06.013] iteration 174 : loss : 0.267595, loss_weight: 0.000086, loss_haus: 0.049838, loss_seg: 0.254189, loss_dice: 0.252591
[13:07:07.624] iteration 175 : loss : 0.388507, loss_weight: 0.000086, loss_haus: 0.048962, loss_seg: 0.217307, loss_dice: 0.373763
[13:07:09.249] iteration 176 : loss : 0.300653, loss_weight: 0.000086, loss_haus: 0.051882, loss_seg: 0.255785, loss_dice: 0.285031
[13:07:10.890] iteration 177 : loss : 0.213449, loss_weight: 0.000086, loss_haus: 0.051553, loss_seg: 0.233587, loss_dice: 0.197925
[13:07:12.499] iteration 178 : loss : 0.320062, loss_weight: 0.000086, loss_haus: 0.082280, loss_seg: 0.364532, loss_dice: 0.295320
[13:07:14.144] iteration 179 : loss : 0.359860, loss_weight: 0.000086, loss_haus: 0.059269, loss_seg: 0.333709, loss_dice: 0.342022
[13:07:15.770] iteration 180 : loss : 0.284560, loss_weight: 0.000086, loss_haus: 0.052668, loss_seg: 0.387656, loss_dice: 0.268706
[13:07:18.114] iteration 181 : loss : 0.315103, loss_weight: 0.000086, loss_haus: 0.064105, loss_seg: 0.396006, loss_dice: 0.295815
[13:07:19.719] iteration 182 : loss : 0.310185, loss_weight: 0.000086, loss_haus: 0.057532, loss_seg: 0.263460, loss_dice: 0.292869
[13:07:21.379] iteration 183 : loss : 0.145825, loss_weight: 0.000086, loss_haus: 0.048219, loss_seg: 0.202613, loss_dice: 0.131302
[13:07:23.015] iteration 184 : loss : 0.297901, loss_weight: 0.000086, loss_haus: 0.042642, loss_seg: 0.314733, loss_dice: 0.285051
